Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.21,0.21,
1,[1],,d5,0.29,-0.08,
2,[2],Nf3,,0.13,-0.16,
3,[2],,c6,0.33,-0.2,
4,[3],Bf4,,0.34,0.01,
5,[3],,Bf5,0.35,-0.01,
6,[4],e3,,0.28,-0.07,
7,[4],,Qb6,0.47,-0.19,
8,[5],Bd3,,0.25,-0.22,
9,[5],,Bxd3,0.44,-0.19,
10,[6],Qxd3,,-0.25,-0.69,
11,[6],,Qxb2,-0.33,0.08,
12,[7],O-O,,0.35,0.68,
13,[7],,e6,0.37,-0.02,
14,[8],c4,,0.28,-0.09,
15,[8],,Nf6,0.88,-0.6,
16,[9],Nbd2,,0.91,0.03,
17,[9],,Qb6,0.6,0.31,
18,[10],Rfb1,,0.55,-0.05,
19,[10],,Qa6,0.61,-0.06,
20,[11],Qb3,,0.62,0.01,
21,[11],,b6,0.57,0.05,
22,[12],a4,,0.49,-0.08,
23,[12],,Qa5,1.25,-0.76,
24,[13],Qc2,,0.94,-0.31,
25,[13],,dxc4,0.65,0.29,
26,[14],e4,,0.47,-0.18,
27,[14],,c3,0.66,-0.19,
28,[15],Nc4,,0.51,-0.15,
29,[15],,Qa6,0.9,-0.39,
30,[16],Qxc3,,0.37,-0.53,
31,[16],,Be7,0.46,-0.09,
32,[17],Ncd2,,-0.1,-0.56,
33,[17],,O-O,-0.15,0.05,
34,[18],Bxb8,,-0.31,-0.16,
35,[18],,Raxb8,-0.37,0.06,
36,[19],Qxc6,,-0.29,0.08,
37,[19],,Rfc8,-0.39,0.1,
38,[20],Qb5,,-0.26,0.13,
39,[20],,Qb7,-0.27,0.01,
40,[21],Qd3,,-0.31,-0.04,
41,[21],,Rc7,-0.18,-0.13,
42,[22],Rc1,,-0.66,-0.48,
43,[22],,Rbc8,-0.6,-0.06,
44,[23],Rxc7,,-0.68,-0.08,
45,[23],,Rxc7,-0.55,-0.13,
46,[24],h3,,-0.61,-0.06,
47,[24],,Qc8,-0.4,-0.21,
48,[25],Qb5,,-0.53,-0.13,
49,[25],,h6,-0.31,-0.22,
50,[26],g3,,-0.98,-0.67,
51,[26],,Rc2,-0.97,-0.01,
52,[27],Kg2,,-0.82,0.15,
53,[27],,Qc3,-0.86,0.04,
54,[28],Rd1,,-0.91,-0.05,
55,[28],,Qb4,-0.15,-0.76,
56,[29],Rb1,,-0.22,-0.07,
57,[29],,Qc3,-0.43,0.21,
58,[30],Rd1,,-0.76,-0.33,
59,[30],,Rb2,-0.95,0.19,
60,[31],Qe5,,-2.49,-1.54,Erreur
61,[31],,Nd7,-2.12,-0.37,
62,[32],Qf4,,-3.45,-1.33,Erreur
63,[32],,g5,-1.28,-2.17,Erreur
64,[33],Qe3,,-1.16,0.12,
65,[33],,Qxe3,-1.2,0.04,
66,[34],fxe3,,-1.2,0.0,
67,[34],,Bb4,-0.37,-0.83,
68,[35],Kf1,,-1.26,-0.89,
69,[35],,Ra2,-1.0,-0.26,
70,[36],e5,,-0.98,0.02,
71,[36],,f5,-0.82,-0.16,
72,[37],g4,,-0.96,-0.14,
73,[37],,Kf8,-0.82,-0.14,
74,[38],Ke2,,-0.62,0.2,
75,[38],,Rxa4,-0.61,-0.01,
76,[39],Rc1,,-0.88,-0.27,
77,[39],,Ra2,-0.78,-0.1,
78,[40],Rc8+,,-0.84,-0.06,
79,[40],,Ke7,-0.34,-0.5,
80,[41],Rh8,,-0.37,-0.03,
81,[41],,a5,0.0,-0.37,
82,[42],Rh7+,,-0.36,-0.36,
83,[42],,Kd8,-0.15,-0.21,
84,[43],Rxh6,,-0.37,-0.22,
85,[43],,Nf8,0.0,-0.37,
86,[44],Kd3,,-0.32,-0.32,
87,[44],,b5,-0.32,0.0,
88,[45],Rh8,,-1.0,-0.68,
89,[45],,a4,-0.48,-0.52,
90,[46],Rg8,,-0.74,-0.26,
91,[46],,a3,-1.27,0.53,
92,[47],gxf5,,-1.36,-0.09,
93,[47],,exf5,0.0,-1.36,Erreur
94,[48],Rxg5,,-0.4,-0.4,
95,[48],,Ra1,-0.51,0.11,
96,[49],Rg7,,-0.53,-0.02,
97,[49],,Rc1,-2.36,1.83,Erreur
98,[50],Ra7,,-2.31,0.05,
99,[50],,Ne6,-0.3,-2.01,Erreur
100,[51],h4,,-1.49,-1.19,Erreur
101,[51],,Rc3+,-0.98,-0.51,
102,[52],Ke2,,-1.38,-0.4,
103,[52],,f4,-1.09,-0.29,
104,[53],exf4,,-2.74,-1.65,Erreur
105,[53],,Nxf4+,-2.88,0.14,
106,[54],Kd1,,-2.94,-0.06,
107,[54],,Kc8,-2.99,0.05,
108,[55],e6,,-3.77,-0.78,
109,[55],,Kb8,-3.71,-0.06,
110,[56],Ne4,,-19.27,-15.56,Gaffe
111,[56],,Rd3+,-7.93,-11.34,Gaffe
112,[57],Kc2,,-7.95,-0.02,
113,[57],,Kxa7,-7.95,0.0,
114,[58],Ne5,,-8.17,-0.22,
115,[58],,Re3,-8.03,-0.14,
116,[59],Nc6+,,-7.96,0.07,
117,[59],,Kb6,-8.48,0.52,
118,[60],Nxb4,,-8.24,0.24,
119,[60],,Rxe4,-8.24,0.0,
120,[61],d5,,,,#6#
121,[61],,Nxe6,-45.1,45.1,Gaffe
122,[62],dxe6,,-45.41,-0.31,
123,[62],,Rxb4,-53.95,8.54,Gaffe
