Ply,Move,White,Black,Score,Eval,Comment
0,[1],Nf3,,0.17,0.17,
1,[1],,Nf6,0.18,-0.01,
2,[2],c4,,0.12,-0.06,
3,[2],,g6,0.41,-0.29,
4,[3],Nc3,,0.29,-0.12,
5,[3],,Bg7,0.48,-0.19,
6,[4],e4,,0.37,-0.11,
7,[4],,d6,0.45,-0.08,
8,[5],d4,,0.37,-0.08,
9,[5],,O-O,0.46,-0.09,
10,[6],Be2,,0.56,0.1,
11,[6],,e5,0.49,0.07,
12,[7],Be3,,0.28,-0.21,
13,[7],,exd4,0.31,-0.03,
14,[8],Nxd4,,0.29,-0.02,
15,[8],,Re8,0.26,0.03,
16,[9],f3,,0.25,-0.01,
17,[9],,c6,0.41,-0.16,
18,[10],Bf2,,0.12,-0.29,
19,[10],,d5,0.2,-0.08,
20,[11],exd5,,0.12,-0.08,
21,[11],,cxd5,0.1,0.02,
22,[12],O-O,,0.13,0.03,
23,[12],,Nc6,0.01,0.12,
24,[13],c5,,0.05,0.04,
25,[13],,Nh5,0.23,-0.18,
26,[14],Qd2,,0.11,-0.12,
27,[14],,Be5,0.12,-0.01,
28,[15],g3,,0.18,0.06,
29,[15],,Bh3,0.08,0.1,
30,[16],Rfe1,,0.09,0.01,
31,[16],,Qf6,1.05,-0.96,
32,[17],Nxd5,,1.06,0.01,
33,[17],,Qg7,1.36,-0.3,
34,[18],Nb5,,1.24,-0.12,
35,[18],,Red8,1.62,-0.38,
36,[19],Rad1,,1.05,-0.57,
37,[19],,Be6,1.75,-0.7,
38,[20],Nd6,,1.83,0.08,
39,[20],,Bxb2,2.06,-0.23,
40,[21],Rb1,,1.43,-0.63,
41,[21],,Bd4,1.43,0.0,
42,[22],Bxd4,,0.93,-0.5,
43,[22],,Nxd4,1.34,-0.41,
44,[23],Nc7,,0.92,-0.42,
45,[23],,Rab8,1.48,-0.56,
46,[24],Nxe6,,1.29,-0.19,
47,[24],,Nxe6,1.26,0.03,
48,[25],Bc4,,1.37,0.11,
49,[25],,Nxc5,2.82,-1.45,Erreur
50,[26],Re7,,3.0,0.18,
51,[26],,Rd7,2.21,0.79,
52,[27],Rxd7,,2.97,0.76,
53,[27],,Nxd7,3.05,-0.08,
54,[28],Nxf7,,3.26,0.21,
55,[28],,Nb6,4.05,-0.79,
56,[29],Bb3,,4.12,0.07,
57,[29],,Qf6,5.91,-1.79,Erreur
58,[30],Re1,,7.29,1.38,Erreur
59,[30],,Rf8,8.25,-0.96,
60,[31],Re6,,4.55,-3.7,Gaffe
61,[31],,Qa1+,8.52,-3.97,Gaffe
62,[32],Kg2,,7.13,-1.39,Erreur
63,[32],,Qg7,7.52,-0.39,
64,[33],Re7,,7.48,-0.04,
