Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.26,0.26,
1,[1],,c6,0.4,-0.14,
2,[2],d4,,0.34,-0.06,
3,[2],,d5,0.31,0.03,
4,[3],exd5,,0.33,0.02,
5,[3],,cxd5,0.29,0.04,
6,[4],Bf4,,0.24,-0.05,
7,[4],,Nc6,0.2,0.04,
8,[5],c3,,0.07,-0.13,
9,[5],,Nf6,0.27,-0.2,
10,[6],Bd3,,0.27,0.0,
11,[6],,Bg4,0.25,0.02,
12,[7],Ne2,,0.2,-0.05,
13,[7],,e6,0.15,0.05,
14,[8],Nd2,,0.0,-0.15,
15,[8],,Bd6,-0.01,0.01,
16,[9],Bg3,,-0.06,-0.05,
17,[9],,O-O,-0.11,0.05,
18,[10],O-O,,-0.31,-0.2,
19,[10],,Rb8,-0.02,-0.29,
20,[11],Qe1,,-0.29,-0.27,
21,[11],,b5,0.04,-0.33,
22,[12],a3,,-0.11,-0.15,
23,[12],,Qc7,0.14,-0.25,
24,[13],Nb3,,0.17,0.03,
25,[13],,a5,0.46,-0.29,
26,[14],Nc5,,0.43,-0.03,
27,[14],,Rb6,0.51,-0.08,
28,[15],h3,,0.29,-0.22,
29,[15],,Bh5,0.31,-0.02,
30,[16],f4,,0.0,-0.31,
31,[16],,b4,0.0,0.0,
32,[17],Bh4,,-0.25,-0.25,
33,[17],,Bxe2,0.27,-0.52,
34,[18],Qxe2,,0.62,0.35,
35,[18],,Be7,0.84,-0.22,
36,[19],Rae1,,0.25,-0.59,
37,[19],,bxc3,0.33,-0.08,
38,[20],bxc3,,0.37,0.04,
39,[20],,Nb8,1.31,-0.94,
40,[21],Kh1,,0.0,-1.31,Erreur
41,[21],,Nbd7,0.0,0.0,
42,[22],Nxd7,,0.0,0.0,
43,[22],,Qxd7,0.0,0.0,
44,[23],f5,,0.0,0.0,
45,[23],,Re8,0.47,-0.47,
46,[24],fxe6,,0.0,-0.47,
47,[24],,Rxe6,0.0,0.0,
48,[25],Bf5,,-0.57,-0.57,
49,[25],,Rxe2,-0.53,-0.04,
50,[26],Bxd7,,-0.53,0.0,
51,[26],,Rxe1,-0.55,0.02,
52,[27],Rxe1,,-0.45,0.1,
53,[27],,Nxd7,-0.54,0.09,
54,[28],Rxe7,,-0.52,0.02,
55,[28],,Rxe7,-0.58,0.06,
56,[29],Bxe7,,-0.63,-0.05,
57,[29],,Nb6,-0.53,-0.1,
58,[30],Kg1,,-0.57,-0.04,
59,[30],,f6,-0.63,0.06,
60,[31],Kf2,,-0.45,0.18,
61,[31],,Kf7,-0.61,0.16,
62,[32],Bd6,,-0.48,0.13,
63,[32],,Ke6,-0.65,0.17,
64,[33],Bf8,,-0.62,0.03,
65,[33],,g6,-0.59,-0.03,
66,[34],Ke3,,-0.54,0.05,
67,[34],,h5,-0.49,-0.05,
68,[35],Bc5,,-0.6,-0.11,
69,[35],,Nc4+,-0.52,-0.08,
70,[36],Kf4,,-0.51,0.01,
71,[36],,g5+,-0.6,0.09,
72,[37],Kf3,,-0.49,0.11,
73,[37],,Nd2+,-0.51,0.02,
74,[38],Ke3,,-0.55,-0.04,
75,[38],,Nc4+,-0.5,-0.05,
76,[39],Kf3,,-0.5,0.0,
77,[39],,Kf5,-0.63,0.13,
78,[40],g4+,,-0.99,-0.36,
79,[40],,Kg6,-0.96,-0.03,
80,[41],a4,,-0.92,0.04,
81,[41],,f5,-0.94,0.02,
82,[42],Be7,,-1.03,-0.09,
83,[42],,hxg4+,-0.93,-0.1,
84,[43],hxg4,,-0.82,0.11,
85,[43],,Nb2,-0.54,-0.28,
86,[44],Bd8,,-0.66,-0.12,
87,[44],,Nxa4,-0.52,-0.14,
88,[45],Bxa5,,-0.55,-0.03,
89,[45],,Nb2,-0.41,-0.14,
90,[46],Bc7,,-0.56,-0.15,
91,[46],,Nc4,-0.67,0.11,
92,[47],gxf5+,,-0.62,0.05,
93,[47],,Kxf5,-0.9,0.28,
94,[48],Kg3,,-0.68,0.22,
95,[48],,Nd2,-0.51,-0.17,
96,[49],Ba5,,-0.62,-0.11,
97,[49],,g4,-0.91,0.29,
98,[50],Kf2,,-0.7,0.21,
99,[50],,Nc4,-0.46,-0.24,
100,[51],Bd8,,-0.87,-0.41,
101,[51],,Ke4,-0.55,-0.32,
102,[52],Kg3,,-0.63,-0.08,
103,[52],,Ne3,-0.09,-0.54,
104,[53],Bg5,,-0.09,0.0,
105,[53],,Nd1,-0.08,-0.01,
106,[54],Bd2,,-0.11,-0.03,
107,[54],,Kd3,-0.07,-0.04,
108,[55],c4,,-0.07,0.0,
109,[55],,Kxc4,-0.06,-0.01,
110,[56],Kxg4,,-0.07,-0.01,
111,[56],,Kxd4,-0.07,0.0,
112,[57],Kf3,,-0.06,0.01,
